id,title_en,title_ar,description_en,description_ar,country_en,country_ar,university_en,university_ar,degree,fundingType,majors,deadline,link,image,keywords,status
1,Chevening Scholarship 2027/2028,منحة تشيفينيج 2027/2028,"The UK government prestigious global scholarship programme. Chevening offers full funding for outstanding professionals with leadership potential to pursue a one-year masters degree at any UK university. Covers tuition, living allowance, travel and accommodation.",برنامج المنح الدراسية العالمي المرموق للحكومة البريطانية. تقدم منحة تشيفينيج تمويلاً كاملاً للمهنيين المتميزين ذوي الإمكانات القيادية لمتابعة درجة الماجستير في أي جامعة بريطانية.,United Kingdom,المملكة المتحدة,Any UK University,أي جامعة بريطانية,Master,Fully Funded,All Fields | Leadership | Public Policy | International Relations,2026-10-06,https://www.chevening.org/apply/,https://images.unsplash.com/photo-1526129318478-62ed807ebdf9?q=80&w=800&auto=format&fit=crop,UK | United Kingdom | British | Chevening | Master | Leadership | Fully Funded | Government,approved
2,Gates Cambridge Scholarship 2027,منحة غيتس كامبريدج 2027,"One of the worlds most prestigious fully funded scholarships, awarded by the Bill and Melinda Gates Foundation to outstanding applicants from outside the UK to pursue a postgraduate degree at the University of Cambridge.",واحدة من أرقى المنح الدراسية الممولة بالكامل في العالم، تمنح لمتقدمين متميزين من خارج المملكة المتحدة لمتابعة درجة الدراسات العليا في جامعة كامبريدج.,United Kingdom,المملكة المتحدة,University of Cambridge,جامعة كامبريدج,PhD,Fully Funded,All Fields | Science | Technology | Arts | Social Sciences,2027-01-07,https://www.gatescambridge.org/,https://images.unsplash.com/photo-1607237138185-eedd9c632b0b?q=80&w=800&auto=format&fit=crop,Cambridge | Gates | UK | PhD | Master | Fully Funded | Prestigious,approved
3,Rhodes Scholarship at University of Oxford,منحة رودس في جامعة أكسفورد,"The Rhodes Scholarship is the oldest and most celebrated international fellowship award in the world enabling exceptional students to study at the University of Oxford. Covers all tuition fees, living stipend, health insurance, and travel.",منحة رودس هي أقدم وأشهر جائزة زمالة دولية في العالم وتمكن الطلاب الاستثنائيين من الدراسة في جامعة أكسفورد. تغطي جميع الرسوم الدراسية ومخصصات المعيشة والتأمين والسفر.,United Kingdom,المملكة المتحدة,University of Oxford,جامعة أكسفورد,Master,Fully Funded,All Fields | Law | Politics | Medicine | Sciences,2026-10-01,https://www.rhodeshouse.ox.ac.uk/scholarships/apply/,https://images.unsplash.com/photo-1580800434132-15b9dfb53cfe?q=80&w=800&auto=format&fit=crop,Oxford | Rhodes | UK | Master | Fully Funded | Prestigious | Leadership,approved
4,DAAD Scholarship Development-Related Postgraduate Courses,منحة DAAD للدراسات العليا المتعلقة بالتنمية,"DAAD German Academic Exchange Service funds international students from developing countries to pursue masters degrees at German universities in fields relevant to sustainable development. Covers full tuition, monthly stipend, health insurance, and airfare.",يموّل برنامج DAAD الطلاب الدوليين من الدول النامية لمتابعة درجات الماجستير في الجامعات الألمانية في مجالات التنمية المستدامة. يغطي الرسوم والراتب والتأمين والأجرة الجوية.,Germany,ألمانيا,Various German Universities,جامعات ألمانية مختلفة,Master,Fully Funded,Development Studies | Environmental Science | Agriculture | Engineering | Public Health,2026-10-31,https://www.daad.de/en/studying-in-germany/scholarships/scholarship-database/,https://images.unsplash.com/photo-1467269204594-9661b134dd2b?q=80&w=800&auto=format&fit=crop,Germany | DAAD | German | Master | Fully Funded | Development | Sustainable,approved
5,Fulbright Foreign Student Program,برنامج فولبرايت للطلاب الأجانب,"The Fulbright Program is the US governments flagship international educational exchange program. Offers full funding for international students to study for a masters or PhD degree at a US university. Covers tuition, living expenses, health insurance, and travel.",برنامج فولبرايت هو البرنامج الرائد للتبادل التعليمي الدولي للحكومة الأمريكية. يقدم تمويلاً كاملاً للطلاب الدوليين لدراسة الماجستير أو الدكتوراه في جامعة أمريكية.,United States,الولايات المتحدة الأمريكية,Various US Universities,جامعات أمريكية مختلفة,Master,Fully Funded,All Fields | Arts | Sciences | Engineering | Social Sciences | Business,2026-09-30,https://foreign.fulbrightonline.org/,https://images.unsplash.com/photo-1541339907198-e08756dedf3f?q=80&w=800&auto=format&fit=crop,USA | America | Fulbright | Master | PhD | Fully Funded | Government,approved
6,Erasmus Mundus Joint Masters Scholarship,منحة إيراسموس موندوس للماجستير المشترك,"Erasmus Mundus Joint Masters is a prestigious integrated international study program jointly delivered by an international consortium of higher education institutions. Scholarships cover tuition fees, travel costs, and monthly living allowance.",برنامج إيراسموس موندوس للماجستير المشترك هو برنامج دراسي دولي متكامل ومرموق يقدمه اتحاد دولي من مؤسسات التعليم العالي. تغطي المنح الرسوم والسفر وبدل المعيشة.,Europe,أوروبا,Multiple European Universities,جامعات أوروبية متعددة,Master,Fully Funded,All Fields | Engineering | Arts | Sciences | Humanities,2027-01-15,https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en,https://images.unsplash.com/photo-1543722530-d2c3201371e7?q=80&w=800&auto=format&fit=crop,Europe | Erasmus | Mundus | Master | Fully Funded | EU | Multi-Country,approved
7,MEXT Japanese Government Scholarship,منحة الحكومة اليابانية MEXT,The Japanese Government MEXT Scholarship provides full funding for international students to study at Japanese universities at the masters and doctoral levels including Japanese language training.,توفر منحة الحكومة اليابانية MEXT تمويلاً كاملاً للطلاب الدوليين للدراسة في الجامعات اليابانية على مستوى الماجستير والدكتوراه بما في ذلك تدريب اللغة اليابانية.,Japan,اليابان,Various Japanese Universities,جامعات يابانية مختلفة,Master,Fully Funded,Engineering | Science | Technology | Humanities | Social Sciences | Agriculture,2027-01-31,https://www.studyinjapan.go.jp/en/smap-stopj-applications-research.html,https://images.unsplash.com/photo-1540959733332-eab4deabeeaf?q=80&w=800&auto=format&fit=crop,Japan | MEXT | Japanese | Master | PhD | Fully Funded | Government | Tokyo,approved
8,Global Korea Scholarship GKS KGSP,منحة كوريا العالمية GKS,"The Global Korea Scholarship GKS also known as the Korean Government Scholarship Program KGSP is a fully funded scholarship from the South Korean government for international students. Covers tuition, living stipend, airfare, and Korean language training.",منحة كوريا العالمية GKS المعروفة ببرنامج المنح الحكومية الكورية KGSP برنامج منح ممول بالكامل من الحكومة الكورية الجنوبية للطلاب الدوليين.,South Korea,كوريا الجنوبية,Various Korean Universities,جامعات كورية مختلفة,Master,Fully Funded,All Fields | Engineering | IT | Business | Sciences | Humanities,2027-03-01,https://www.gksscholarship.com/,https://images.unsplash.com/photo-1538485399081-7191377e8241?q=80&w=800&auto=format&fit=crop,Korea | South Korea | GKS | KGSP | Master | PhD | Fully Funded | Korean,approved
9,Swedish Institute Scholarship for Global Professionals,منحة المعهد السويدي للمهنيين العالميين,"The Swedish Institute offers scholarships for international students from eligible countries to pursue full-time masters studies in Sweden. Covers tuition fees, living expenses, travel grant, and insurance.",يقدم المعهد السويدي منحاً دراسية للطلاب الدوليين من الدول المؤهلة لمتابعة دراسات الماجستير بدوام كامل في السويد. تغطي الرسوم والمعيشة ومنحة السفر والتأمين.,Sweden,السويد,Swedish Universities,الجامعات السويدية,Master,Fully Funded,All Fields | Sustainability | Technology | Social Sciences | Business,2027-02-10,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,https://images.unsplash.com/photo-1508817628294-5a453fa0b8fb?q=80&w=800&auto=format&fit=crop,Sweden | Swedish | SI Scholarship | Master | Fully Funded | Scandinavia | Nordic,approved
10,Australia Awards Scholarships,منح جوائز أستراليا,"Australia Awards Scholarships are funded by the Australian Government providing opportunities for people from eligible countries to undertake full-time undergraduate or postgraduate study at Australian universities. Covers tuition, travel, living allowance, and health.",منح جوائز أستراليا ممولة من الحكومة الأسترالية توفر فرصاً للأفراد من الدول المؤهلة لمتابعة الدراسة في الجامعات الأسترالية. تغطي الرسوم والسفر والمعيشة والصحة.,Australia,أستراليا,Australian Universities,الجامعات الأسترالية,Master,Fully Funded,All Fields | Development | Agriculture | Health | Education,2026-04-30,https://www.australiaawards.gov.au/,https://images.unsplash.com/photo-1523482580672-f109ba8cb9be?q=80&w=800&auto=format&fit=crop,Australia | Australian | Australia Awards | Master | Fully Funded | Government | Development,approved
